127,105,87
86,110,93
106,122,87
77,125,110
72,137,82
105,121,69
126,77,111
119,88,120
134,121,73
77,125,79
87,120,103
52,140,67
94,105,132
155,127,118
125,114,103
120,97,94
87,105,103
79,112,111
120,84,103
105,87,104
78,111,110
118,120,56
93,115,101
106,99,110
89,102,103
143,78,93
90,86,120
134,138,88
134,99,108
83,126,90
117,88,89
94,110,93
120,106,75
74,119,83
109,125,64
104,120,87
95,109,110
104,105,88
88,101,106
120,79,95
