151,138,94
93,93,127
106,119,87
103,108,84
113,94,93
121,150,140
102,126,87
95,109,94
103,105,89
88,104,105
125,111,64
68,136,105
95,109,115
114,117,58
130,88,78
78,109,126
121,102,103
119,103,89
115,94,91
153,116,87
117,134,123
158,110,62
120,120,119
86,154,101
96,141,114
105,106,92
104,73,135
109,109,78
88,135,87
87,122,87
111,109,93
119,89,87
118,91,121
93,78,125
154,126,142
132,106,73
94,125,78
103,105,103
80,134,89
103,78,109
105,120,103
125,93,111
103,121,87
105,105,86
126,79,109
74,104,131
105,120,86
93,128,80
132,104,89
102,155,101
79,126,93
103,120,73
109,111,104
123,52,127
74,133,101
126,93,78
104,105,88
106,120,86
126,94,93
71,136,74
111,89,104
86,111,95
148,71,120
100,123,132
141,131,110
85,132,73
160,78,90
110,79,125
138,100,72
125,101,89
137,64,109
104,103,88
110,126,93
120,89,103
85,105,105
63,126,126
89,105,115
120,112,110
126,164,99
139,114,81
105,104,120
110,93,110
86,125,89
105,69,133
110,109,95
75,114,123
110,93,95
136,120,87
119,104,89
110,94,109
89,136,73
137,46,144
124,141,64
108,65,167
120,104,71
94,126,78
56,137,87
139,69,119
109,109,94
105,100,94
125,93,96
74,121,98
106,118,88
79,111,92
105,105,86
106,100,120
79,94,129
126,168,90
110,115,119
110,94,109
104,89,102
131,88,120
81,113,93
69,122,87
95,109,109
88,121,85
137,89,103
110,111,93
105,88,102
117,105,104
71,111,110
165,105,51
126,152,131
111,139,47
58,151,70
110,109,79
120,106,71
51,126,103
124,93,96
104,120,87
117,90,120
110,110,93
103,90,120
95,108,95
102,104,87
136,127,42
133,99,93
123,127,131
57,136,105
110,93,95
100,89,104
101,121,92
110,94,93
70,136,102
109,121,87
87,110,94
105,120,88
111,95,78
83,122,88
89,120,86
125,95,81
103,119,86
123,145,122
111,110,93
119,74,118
102,106,87
80,144,62
137,51,136
94,110,93
106,103,87
104,87,120
93,109,95
88,106,101
104,105,101
125,63,143
136,132,58
78,139,123
125,131,93
116,106,103
94,110,95
95,112,104
54,169,57
93,110,94
88,120,89
102,104,105
109,110,78
102,106,87
93,111,95
152,90,85
101,120,92
79,109,94
133,166,102
63,157,120
108,95,109
89,119,88
105,105,87
125,78,98
59,100,134
103,88,119
92,125,79
104,106,101
93,110,94
134,106,89
89,103,104
110,94,111
135,121,37
78,171,106
64,125,111
117,89,119
119,90,87
63,141,94
104,71,119
108,94,94
105,102,94
120,89,84
93,109,94
104,105,104
88,119,88
110,108,95
102,137,73
95,108,94
157,122,127
86,122,87
