214,224,210
110,117,107
109,114,101
108,116,107
110,113,104
109,112,103
114,117,109
107,112,99
109,118,104
114,119,109
112,157,107
178,184,166
131,127,111
109,111,102
106,119,111
108,113,101
109,112,103
109,113,101
105,112,101
109,113,102
111,112,111
106,112,105
106,112,100
110,117,103
149,147,149
158,159,145
107,113,103
105,116,99
107,113,110
111,108,102
105,113,102
112,116,103
107,108,102
105,112,100
119,109,115
112,112,100
107,109,100
119,125,109
173,184,172
117,112,107
111,111,100
107,112,101
109,120,107
108,111,102
111,113,103
108,114,110
107,112,102
111,112,104
111,112,101
108,110,99
106,113,103
172,173,157
142,141,115
110,120,105
110,112,101
112,113,103
111,113,102
110,110,105
111,114,100
110,113,102
103,112,100
110,110,99
113,116,102
107,112,102
129,139,121
164,169,164
110,112,101
107,116,103
110,113,102
108,111,104
108,117,102
108,112,100
107,111,102
109,114,107
107,110,101
108,111,102
113,115,115
109,114,105
172,198,178
116,120,109
108,114,101
113,123,102
113,114,101
106,112,103
108,119,100
105,116,102
110,109,100
110,114,103
112,110,101
107,112,100
112,115,105
145,144,142
169,161,141
112,110,97
107,112,102
105,113,102
107,114,102
107,108,102
109,114,101
109,111,103
